D_Hipotension,D_TAS_mean,D_TAS_std,D_TAS_median,D_TAS_<lambda_0>,D_TAD_mean,D_TAD_std,D_TAD_median,D_TAD_<lambda_0>,D_MAP_mean,D_MAP_std,D_MAP_median,D_MAP_<lambda_0>,D_Pulso_mean,D_Pulso_std,D_Pulso_median,D_Pulso_<lambda_0>,D_UF_mean,D_UF_std,D_UF_median,D_UF_<lambda_0>,D_Ganancia_mean,D_Ganancia_std,D_Ganancia_median,D_Ganancia_<lambda_0>,D_Edad_mean,D_Edad_std,D_Edad_median,D_Edad_<lambda_0>,D_FlujoSangre_mean,D_FlujoSangre_std,D_FlujoSangre_median,D_FlujoSangre_<lambda_0>,D_PTM_mean,D_PTM_std,D_PTM_median,D_PTM_<lambda_0>,D_Kt_mean,D_Kt_std,D_Kt_median,D_Kt_<lambda_0>
NO,126.83,27.68,127.0,35.0,60.44,17.89,58.0,23.0,82.57,18.71,82.0,23.0,69.85,14.45,69.0,17.0,0.14,0.08,0.13,0.09,1.61,1.17,1.6,1.6,65.96,15.52,70.0,20.0,381.64,51.18,400.0,50.0,149.98,52.17,170.0,65.0,57.75,9.82,58.7,11.7
SI,145.94,30.07,145.0,39.0,64.54,20.95,62.0,23.0,91.67,19.91,90.33,23.0,71.26,17.27,70.0,16.0,0.16,0.07,0.15,0.09,1.84,1.17,1.8,1.5,67.31,14.2,70.0,16.0,378.53,52.11,400.0,50.0,137.79,56.02,155.0,95.0,55.55,10.59,57.2,12.7
